1,Potato,condition,state,52.74
2,Tomato,condition,state,32.01
4,Cabbage,condition,state,90.62
13,Beans,condition,state,59.76
4,Cabbage,condition,state,47.9
2,Tomato,condition,state,40.17
6,Pumpkin,condition,state,66.04
7,Eggplant,condition,state,57.26
3,Carrot,condition,state,11.73
14,Corn,condition,state,95.91
19,Zucchini,condition,state,96.3
20,Garlic,condition,state,1.28
13,Beans,condition,state,75.33
18,Beets,condition,state,14.41
8,Cauliflower,condition,state,19.0
17,Spinach,condition,state,35.76
12,Lettuce,condition,state,41.96
12,Lettuce,condition,state,23.59
16,Ginger,condition,state,25.24
14,Corn,condition,state,36.72
14,Corn,condition,state,94.93
5,Pepper,condition,state,7.43
10,Parsley,condition,state,4.61
3,Carrot,condition,state,94.26
13,Beans,condition,state,15.44
4,Cabbage,condition,state,93.65
17,Spinach,condition,state,37.31
14,Corn,condition,state,25.06
1,Potato,condition,state,71.69
6,Pumpkin,condition,state,52.01
19,Zucchini,condition,state,84.49
13,Beans,condition,state,17.87
11,Cucumber,condition,state,11.55
4,Cabbage,condition,state,86.93
12,Lettuce,condition,state,77.2
20,Garlic,condition,state,71.82
2,Tomato,condition,state,4.45
17,Spinach,condition,state,61.07
3,Carrot,condition,state,49.63
6,Pumpkin,condition,state,69.21
5,Pepper,condition,state,44.3
15,Apple,condition,state,71.63
10,Parsley,condition,state,36.27
20,Garlic,condition,state,52.12
8,Cauliflower,condition,state,89.48
1,Potato,condition,state,80.56
18,Beets,condition,state,5.97
17,Spinach,condition,state,12.15
7,Eggplant,condition,state,79.26
4,Cabbage,condition,state,63.12
11,Cucumber,condition,state,23.84
2,Tomato,condition,state,83.29
19,Zucchini,condition,state,61.35
19,Zucchini,condition,state,52.7
4,Cabbage,condition,state,88.65
11,Cucumber,condition,state,41.3
7,Eggplant,condition,state,80.09
20,Garlic,condition,state,9.86
1,Potato,condition,state,35.83
1,Potato,condition,state,9.33
16,Ginger,condition,state,36.41
12,Lettuce,condition,state,75.51
12,Lettuce,condition,state,43.87
3,Carrot,condition,state,3.38
18,Beets,condition,state,66.16
11,Cucumber,condition,state,90.18
2,Tomato,condition,state,32.76
12,Lettuce,condition,state,33.42
20,Garlic,condition,state,81.37
2,Tomato,condition,state,72.6
5,Pepper,condition,state,73.18
6,Pumpkin,condition,state,80.95
14,Corn,condition,state,17.92
10,Parsley,condition,state,78.85
1,Potato,condition,state,81.7
19,Zucchini,condition,state,53.09
9,Onion,condition,state,25.66
1,Potato,condition,state,69.73
20,Garlic,condition,state,40.97
1,Potato,condition,state,20.97
10,Parsley,condition,state,20.49
5,Pepper,condition,state,59.24
7,Eggplant,condition,state,82.72
2,Tomato,condition,state,15.96
19,Zucchini,condition,state,99.08
19,Zucchini,condition,state,26.11
9,Onion,condition,state,56.57
7,Eggplant,condition,state,95.8
1,Potato,condition,state,68.92
3,Carrot,condition,state,27.8
12,Lettuce,condition,state,13.0
17,Spinach,condition,state,71.48
18,Beets,condition,state,56.94
3,Carrot,condition,state,59.41
9,Onion,condition,state,50.71
1,Potato,condition,state,20.92
20,Garlic,condition,state,13.32
15,Apple,condition,state,2.93
12,Lettuce,condition,state,2.33
14,Corn,condition,state,18.41
5,Pepper,condition,state,1.24
17,Spinach,condition,state,58.72
16,Ginger,condition,state,28.74
15,Apple,condition,state,23.45
1,Potato,condition,state,70.07
9,Onion,condition,state,54.32
3,Carrot,condition,state,13.69
14,Corn,condition,state,12.32
13,Beans,condition,state,3.89
13,Beans,condition,state,91.48
2,Tomato,condition,state,67.8
16,Ginger,condition,state,77.59
18,Beets,condition,state,56.2
7,Eggplant,condition,state,78.74
15,Apple,condition,state,58.01
15,Apple,condition,state,96.9
9,Onion,condition,state,54.06
18,Beets,condition,state,63.59
2,Tomato,condition,state,44.86
1,Potato,condition,state,11.81
3,Carrot,condition,state,47.61
8,Cauliflower,condition,state,60.12
10,Parsley,condition,state,5.23
12,Lettuce,condition,state,4.68
3,Carrot,condition,state,3.4
3,Carrot,condition,state,23.39
18,Beets,condition,state,16.48
11,Cucumber,condition,state,40.39
17,Spinach,condition,state,17.54
15,Apple,condition,state,34.04
1,Potato,condition,state,55.34
8,Cauliflower,condition,state,50.93
18,Beets,condition,state,27.47
1,Potato,condition,state,60.22
2,Tomato,condition,state,9.59
9,Onion,condition,state,78.39
10,Parsley,condition,state,15.23
14,Corn,condition,state,76.6
13,Beans,condition,state,69.64
1,Potato,condition,state,37.94
8,Cauliflower,condition,state,57.54
12,Lettuce,condition,state,69.09
5,Pepper,condition,state,14.61
11,Cucumber,condition,state,64.2
16,Ginger,condition,state,41.79
9,Onion,condition,state,94.15
17,Spinach,condition,state,24.66
17,Spinach,condition,state,75.21
4,Cabbage,condition,state,33.83
3,Carrot,condition,state,54.23
2,Tomato,condition,state,10.55
16,Ginger,condition,state,77.39
6,Pumpkin,condition,state,80.85
18,Beets,condition,state,83.42
15,Apple,condition,state,4.68
4,Cabbage,condition,state,99.37
1,Potato,condition,state,33.5
11,Cucumber,condition,state,5.55
9,Onion,condition,state,77.8
3,Carrot,condition,state,43.96
11,Cucumber,condition,state,84.96
6,Pumpkin,condition,state,9.31
3,Carrot,condition,state,53.89
14,Corn,condition,state,47.83
6,Pumpkin,condition,state,1.87
15,Apple,condition,state,35.22
6,Pumpkin,condition,state,56.73
9,Onion,condition,state,7.88
16,Ginger,condition,state,10.66
2,Tomato,condition,state,21.73
9,Onion,condition,state,1.65
9,Onion,condition,state,21.18
17,Spinach,condition,state,73.54
15,Apple,condition,state,79.71
8,Cauliflower,condition,state,29.25
2,Tomato,condition,state,9.27
4,Cabbage,condition,state,36.8
13,Beans,condition,state,1.63
19,Zucchini,condition,state,34.55
6,Pumpkin,condition,state,48.01
7,Eggplant,condition,state,21.42
19,Zucchini,condition,state,57.57
8,Cauliflower,condition,state,14.76
15,Apple,condition,state,22.28
4,Cabbage,condition,state,5.87
11,Cucumber,condition,state,60.95
5,Pepper,condition,state,48.01
7,Eggplant,condition,state,90.85
7,Eggplant,condition,state,78.13
8,Cauliflower,condition,state,14.15
5,Pepper,condition,state,86.37
4,Cabbage,condition,state,13.21
18,Beets,condition,state,21.95
5,Pepper,condition,state,20.95
4,Cabbage,condition,state,68.77
2,Tomato,condition,state,40.44
14,Corn,condition,state,13.42
8,Cauliflower,condition,state,18.01
3,Carrot,condition,state,70.3
13,Beans,condition,state,96.98
4,Cabbage,condition,state,21.75
11,Cucumber,condition,state,8.83
5,Pepper,condition,state,99.47
14,Corn,condition,state,19.54
4,Cabbage,condition,state,44.45
7,Eggplant,condition,state,37.83
1,Potato,condition,state,3.28
2,Tomato,condition,state,98.27
12,Lettuce,condition,state,70.69
1,Potato,condition,state,86.18
17,Spinach,condition,state,23.71
18,Beets,condition,state,55.28
1,Potato,condition,state,4.22
10,Parsley,condition,state,87.66
4,Cabbage,condition,state,27.05
10,Parsley,condition,state,79.53
16,Ginger,condition,state,84.52
10,Parsley,condition,state,64.67
16,Ginger,condition,state,20.71
16,Ginger,condition,state,86.87
5,Pepper,condition,state,43.9
1,Potato,condition,state,91.11
3,Carrot,condition,state,23.36
6,Pumpkin,condition,state,46.86
12,Lettuce,condition,state,41.8
8,Cauliflower,condition,state,35.83
10,Parsley,condition,state,89.67
8,Cauliflower,condition,state,60.52
1,Potato,condition,state,17.71
15,Apple,condition,state,46.74
18,Beets,condition,state,18.26
13,Beans,condition,state,70.63
11,Cucumber,condition,state,34.31
11,Cucumber,condition,state,16.83
5,Pepper,condition,state,72.9
14,Corn,condition,state,36.36
5,Pepper,condition,state,91.73
13,Beans,condition,state,89.43
17,Spinach,condition,state,84.64
4,Cabbage,condition,state,4.79
1,Potato,condition,state,27.52
3,Carrot,condition,state,80.2
20,Garlic,condition,state,52.24
15,Apple,condition,state,57.47
